time,open,high,low,close,tick_volume,spread,real_volume
2023-10-25 22:15:00,1981.6,1982.38,1981.4,1982.3,648,12,0
2023-10-25 22:30:00,1982.3,1982.65,1981.15,1981.4,584,12,0
2023-10-25 22:45:00,1981.46,1981.46,1980.42,1980.82,608,12,0
2023-10-25 23:00:00,1980.8,1980.85,1979.62,1980.56,495,12,0
2023-10-25 23:15:00,1980.57,1980.71,1979.23,1979.23,345,12,0
2023-10-25 23:30:00,1979.22,1979.45,1977.72,1978.73,381,12,0
2023-10-25 23:45:00,1978.68,1979.98,1978.64,1979.63,206,12,0
2023-10-26 01:00:00,1980.09,1981.51,1979.86,1981.39,325,12,0
2023-10-26 01:15:00,1981.33,1984.09,1981.22,1982.68,682,12,0
2023-10-26 01:30:00,1982.74,1982.76,1980.97,1981.21,331,12,0
2023-10-26 01:45:00,1981.09,1982.66,1981.03,1982.13,534,12,0
2023-10-26 02:00:00,1982.13,1983.57,1981.51,1982.11,518,12,0
2023-10-26 02:15:00,1982.11,1983.34,1981.82,1982.14,432,12,0
2023-10-26 02:30:00,1982.14,1983.82,1981.51,1983.29,476,12,0
2023-10-26 02:45:00,1983.29,1983.47,1982.68,1982.95,401,12,0
2023-10-26 03:00:00,1982.95,1984.72,1982.75,1983.09,570,12,0
2023-10-26 03:15:00,1983.09,1983.95,1982.7,1983.75,545,12,0
2023-10-26 03:30:00,1983.79,1984.7,1983.79,1984.37,480,12,0
2023-10-26 03:45:00,1984.37,1984.52,1982.39,1983.43,630,12,0
2023-10-26 04:00:00,1983.46,1984.36,1983.32,1983.92,746,12,0
2023-10-26 04:15:00,1983.93,1986.59,1983.44,1984.73,1041,12,0
2023-10-26 04:30:00,1984.84,1986.52,1983.79,1984.39,1063,12,0
2023-10-26 04:45:00,1984.39,1985.95,1984.25,1984.96,643,12,0
2023-10-26 05:00:00,1984.96,1986.86,1984.78,1986.23,644,12,0
2023-10-26 05:15:00,1986.21,1986.57,1984.95,1985.16,522,12,0
2023-10-26 05:30:00,1985.17,1986.17,1984.53,1984.62,478,12,0
2023-10-26 05:45:00,1984.62,1985.32,1984.55,1984.77,436,12,0
2023-10-26 06:00:00,1984.77,1984.87,1983.41,1984.59,435,12,0
2023-10-26 06:15:00,1984.57,1985.36,1984.49,1985.13,386,12,0
2023-10-26 06:30:00,1985.13,1987.31,1984.62,1987.2,517,12,0
2023-10-26 06:45:00,1987.2,1987.32,1986.32,1987.17,677,12,0
2023-10-26 07:00:00,1987.17,1988.33,1987.12,1987.78,527,12,0
